id_referencia_some,id_element,client,element,property,pieza,datum
BROSE_G51046_101_1228701_A, N15.4_PosiciónØ,BROSE, N15.4,PosiciónØ,1228701/A,Sistema global de coordenadas
BROSE_G51046_101_1228701_A, N15.5_PosiciónØ,BROSE, N15.5,PosiciónØ,1228701/A,Sistema global de coordenadas
BROSE_G51046_101_1241548A, N2_PosiciónØ,BROSE, N2,PosiciónØ,1241548A,Sistema global de coordenadas
BROSE_G51046_101_1241548A, N7_PosiciónØ,BROSE, N7,PosiciónØ,1241548A,Sistema global de coordenadas
BROSE_G51046_101_1241548A, N9_PosiciónØ,BROSE, N9,PosiciónØ,1241548A,Sistema global de coordenadas
BROSE_G51046_101_1241548A, N15.1_PosiciónØ,BROSE, N15.1,PosiciónØ,1241548A,Sistema global de coordenadas
BROSE_G51046_101_1241548A, N15.2_PosiciónØ,BROSE, N15.2,PosiciónØ,1241548A,Sistema global de coordenadas
BROSE_G51046_101_1241548A, N15.3_PosiciónØ,BROSE, N15.3,PosiciónØ,1241548A,Sistema global de coordenadas
BROSE_G51046_101_1241548A, N15.4_PosiciónØ,BROSE, N15.4,PosiciónØ,1241548A,Sistema global de coordenadas
BROSE_G51046_101_1241548A, N15.5_PosiciónØ,BROSE, N15.5,PosiciónØ,1241548A,Sistema global de coordenadas
BROSE_G51046_101_1241548A, N15.6_PosiciónØ,BROSE, N15.6,PosiciónØ,1241548A,Sistema global de coordenadas
BROSE_G51046_101_1241548A, N5_Perfil de una línea,BROSE, N5,Perfil de una línea,nan,Sistema global de coordenadas
BROSE_G51046_101_1241548A, N12_Perfil de una línea,BROSE, N12,Perfil de una línea,nan,Sistema global de coordenadas
BROSE_G51046_101_1241548A, N39_∠XZ,BROSE, N39,∠XZ,nan,nan
JOYSON_3118675_AB_1123, N33.7_Posición,JOYSON, N33.7,Posición,1123.0,Sistema global de coordenadas
BROSE_G51046_101_4000 PECES, N15.4_PosiciónØ,BROSE, N15.4,PosiciónØ,4000 PECES,Sistema global de coordenadas
BROSE_G51046_101_4000 PECES, N15.5_PosiciónØ,BROSE, N15.5,PosiciónØ,4000 PECES,Sistema global de coordenadas
BROSE_G51046_101_4000 PECES, N15.6_PosiciónØ,BROSE, N15.6,PosiciónØ,4000 PECES,Sistema global de coordenadas
BROSE_G51046_101_4000 PECES, N5_Perfil de una línea,BROSE, N5,Perfil de una línea,nan,Sistema global de coordenadas
BROSE_G51046_101_4000 PECES, N12_Perfil de una línea,BROSE, N12,Perfil de una línea,nan,Sistema global de coordenadas
BROSE_G51046_101_4000 PECES, N39_∠XZ,BROSE, N39,∠XZ,nan,nan
BROSE_G51046_101_41548F, N38_PosiciónØ,BROSE, N38,PosiciónØ,41548F,Sistema global de coordenadas
BROSE_G51046_101_41548F, N40_PosiciónØ,BROSE, N40,PosiciónØ,41548F,DATUM D
BROSE_G51046_101_41548F, N41_PosiciónØ,BROSE, N41,PosiciónØ,41548F,Sistema global de coordenadas
BROSE_G51046_101_41548F, N2_PosiciónØ,BROSE, N2,PosiciónØ,41548F,Sistema global de coordenadas
BROSE_G51046_101_41548F, N7_PosiciónØ,BROSE, N7,PosiciónØ,41548F,Sistema global de coordenadas
BROSE_G51046_101_41548F, N9_PosiciónØ,BROSE, N9,PosiciónØ,41548F,Sistema global de coordenadas
BROSE_G51046_101_41548F, N15.1_PosiciónØ,BROSE, N15.1,PosiciónØ,41548F,Sistema global de coordenadas
BROSE_G51046_101_41548F, N15.2_PosiciónØ,BROSE, N15.2,PosiciónØ,41548F,Sistema global de coordenadas
BROSE_G51046_101_41548F, N15.3_PosiciónØ,BROSE, N15.3,PosiciónØ,41548F,Sistema global de coordenadas
